TRACT,GEOID,TOTPOP,WHT_PCT,HOUSVCNY_PCT,SQMILES,OI_ALLCOMP-LEV,OI_EDCOMP-LEV,OI_HECOMP-LEV,OI_NBCOMP-LEV,OI_ALLCOMP,OI_EDCOMP,OI_HECOMP,OI_NBCOMP,CNPY_MEAN,CNPY_STD,CNPY_VRTY,CNPY_MED,IMPSRF_MEAN,IMPSRF_STD,IMPSRF_VRTY,IMPSRF_MED
80,39049008000,5410,0.93844732,2.092511013,22.53842176,High,High,High,Moderate,0.177087,0.192066,0.213042,0.126152,11.47431232,21.896596,94,3,2.438263041,9.802637385,100,0
79.41,39049007941,2588,0.831530139,6.809184481,3.00095097,High,High,Low,Very High,0.293088,0.411541,-0.23561,0.703332,17.62601156,20.50791232,93,10,30.09251969,29.49522276,101,23
60,39049006000,2345,0.503624733,19.00097943,0.37393361,Very Low,Very Low,Very Low,Very Low,-0.832489,-1.192568,-0.44747,-0.85743,6.317254174,4.849066918,25,5,70.26159555,21.10808456,89,70
59,39049005900,2546,0.23487824,22.7827502,0.30146118,Very Low,Very Low,Very Low,Very Low,-0.898812,-1.413259,-0.458507,-0.82467,13.24855491,6.975395296,41,11,53.63636364,15.17239221,94,55
58.20,39049005820,2230,0.884753363,13.02521008,0.2943445,Very Low,Very Low,Very Low,Low,-0.513934,-0.880304,-0.327237,-0.334262,9.092198582,6.066496034,36,7,66.11018957,16.56577985,83,66
58.10,39049005810,2548,0.9144427,9.6,0.37490433,Low,Very Low,Moderate,High,-0.171766,-0.760771,0.013935,0.231538,14.15009208,10.92315933,59,12,61.5843318,22.50291397,92,65
57,39049005700,3629,0.907688068,9.075268817,0.88018399,High,Moderate,High,Very High,0.332574,-0.131958,0.316978,0.8127,13.46972695,12.87367367,69,10,56.65320665,30.87048141,101,65
56.20,39049005620,2542,0.621557828,21.95526098,0.28007998,Very Low,Very Low,Low,Very Low,-0.692437,-0.947034,-0.181657,-0.948622,9.149938042,4.753510083,27,9,62.45771144,15.86681047,83,61
56.10,39049005610,1784,0.321188341,31.26903553,0.24408696,Very Low,Very Low,Low,Very Low,-0.726823,-0.851893,-0.29606,-1.032518,11.4683908,5.828155082,33,11,62.74964438,16.38373137,77,61
55,39049005500,4228,0.080179754,28.35628227,0.57171569,Very Low,Very Low,Very Low,Very Low,-0.831299,-0.9053,-0.379515,-1.209082,13.8879467,8.974365206,65,12,52.16250761,17.86715723,98,53
