Tract,getisord-z_OI-MCC,getisord-z_OIWP,getisord-z_OI-VH,getisord-z_OI-MISC,getisord-z_MCC-WP,getisord-z_MCC-MISC,getisord-z_MCC-MISC
100,6.624406357,4.912784765,,,,,
102,-1.377864163,-1.300018055,,,,,
103,-2.062287209,0.665379555,,,,,
101,2.304757634,-2.631483717,,,,,
69.33,-1.10580689,-2.409291567,,,,,
69.32,-0.343668576,-1.071341043,,,,,
69.31,0.047973865,-0.816044133,,,,,
69.24,-1.480145766,-1.654645055,,,,,
69.23,-0.801808599,-0.468910228,,,,,
69.21,3.081975453,3.045960715,,,,,
69.10,7.575509445,5.573964644,,,,,
68.22,3.613918611,2.249796706,,,,,
42,-2.920858692,-0.046988652,,,,,
98,-1.704444353,2.007547097,,,,,
97.51,-0.806928692,3.205894645,,,,,
97.12,-0.892773717,2.84099856,,,,,
97.11,-1.187021649,1.581519246,,,,,
96,-1.566558892,2.64486928,,,,,
81.62,-2.095607906,1.385450773,,,,,
68.21,5.742435586,4.262349246,,,,,
68.10,6.164653307,4.208822734,,,,,
67.22,3.934526941,4.401844496,,,,,
67.21,7.691424034,6.098005367,,,,,
67.10,5.741175604,4.845651065,,,,,
61,-5.709859478,-2.933438546,,,,,
81.42,-1.784254888,1.858670915,,,,,
81.41,-2.108756168,1.610857045,,,,,
81.32,-2.186629157,0.272538883,,,,,
81.10,-3.35423027,-0.248767663,,,,,
80,-1.72918943,2.936753386,,,,,
79.41,2.374358359,4.34978598,,,,,
60,-6.212689227,-4.195593096,,,,,
59,-6.191281043,-7.501977391,,,,,
58.20,-4.743547123,-1.543929241,,,,,
58.10,-4.617349299,-1.612005517,,,,,
57,-3.790761892,-1.576408776,,,,,
56.20,-4.992420381,-4.440861411,,,,,
56.10,-4.16575683,-4.03704099,,,,,
55,-6.153855583,-8.825694691,,,,,
54.20,-5.156234683,-8.440533101,,,,,
54.10,-1.317167211,-4.548162133,,,,,
53,-4.646975733,-6.337286549,,,,,
79.33,0.386630841,3.295284347,,,,,
79.22,1.857296689,4.591530809,,,,,
79.21,-0.540335986,4.0920259,,,,,
63.84,3.42815751,4.104949194,,,,,
63.83,5.990865046,6.035128853,,,,,
62.30,1.576432221,4.858670792,,,,,
75.50,-1.335555172,-6.213253774,,,,,
52,-1.883746037,-0.324759265,,,,,
40,-3.272845615,-1.443817319,,,,,
38,-3.269548749,-3.928970625,,,,,
37,-1.538694092,-4.627901855,,,,,
36,-4.23733836,-4.995880479,,,,,
32,-0.987510539,2.780283739,,,,,
30,-4.587448657,-3.013574041,,,,,
29,-4.779474673,-6.008911274,,,,,
70.20,3.534000789,3.872245015,,,,,
71.15,1.017520546,0.351091405,,,,,
71.20,3.94904813,2.425056122,,,,,
71.32,6.823851765,3.65356684,,,,,
71.93,5.374206884,4.783645902,,,,,
71.94,5.518752553,4.803502965,,,,,
28,-4.806783126,-7.829541823,,,,,
27.80,-2.319511628,-4.803673925,,,,,
27.70,-2.370656522,-5.409672593,,,,,
27.60,-0.317943961,-1.990236284,,,,,
27.50,-2.186746694,-3.996364664,,,,,
27.40,-1.24918686,-2.844081637,,,,,
27.30,-2.169473104,-3.88558131,,,,,
27.10,-1.424587476,-3.069385112,,,,,
26,-0.701748427,-3.384502961,,,,,
25.20,-1.770703464,-5.645968044,,,,,
69.42,2.09370271,0.938330974,,,,,
69.43,0.784579936,0.260107768,,,,,
69.44,1.879989419,0.864644274,,,,,
69.45,0.589036655,-0.15282952,,,,,
69.90,2.224728728,2.307014242,,,,,
74.24,0.874840138,-0.165928984,,,,,
25.10,-4.812405039,-10.12411939,,,,,
23,-6.17675117,-8.156529613,,,,,
22,-3.811265916,-1.915612434,,,,,
21,-0.584813461,3.144380107,,,,,
20,-0.007532881,3.467431014,,,,,
18.20,-1.488256313,2.465622168,,,,,
18.10,-2.167518525,0.880934593,,,,,
17,-3.559289831,-0.229425054,,,,,
74.92,6.365501881,4.369833165,,,,,
93.26,0.015077641,-3.763515635,,,,,
93.62,1.807341541,0.003272456,,,,,
93.71,0.246641073,-2.330049735,,,,,
93.72,-0.760594814,-5.063895904,,,,,
93.73,-0.671641017,-2.813591544,,,,,
93.74,-1.384793716,-3.211275849,,,,,
16,-4.999561024,-3.947748498,,,,,
15,-4.637702342,-6.924050433,,,,,
14,-6.366395678,-7.60393835,,,,,
13,-4.846012579,-3.208099393,,,,,
12,-3.13067329,-1.205764538,,,,,
11.10,-0.701803154,1.790835656,,,,,
10,-0.988283733,0.242354739,,,,,
9.20,-2.948057885,-7.146942074,,,,,
9.10,-4.406099895,-6.286070746,,,,,
8.20,-2.06122083,-5.822954087,,,,,
3.10,2.873066666,2.710690316,,,,,
2.20,4.980862601,4.632060564,,,,,
2.10,3.773629231,3.095343045,,,,,
1.20,4.61378959,4.159904335,,,,,
94.10,-1.193718976,-1.489321066,,,,,
94.20,-0.068374454,-2.173988836,,,,,
95.90,-2.570860237,0.59038757,,,,,
94.40,-1.935529426,0.369433316,,,,,
8.10,-3.199913957,-3.293755285,,,,,
7.30,-4.936298101,-8.144793044,,,,,
7.20,-4.10988391,-3.882869211,,,,,
7.10,-1.500247723,-1.506719858,,,,,
6,-0.73060034,0.474827837,,,,,
5,1.146609498,2.074326601,,,,,
4.20,2.168051997,2.634911669,,,,,
4.10,3.930590495,4.155279666,,,,,
3.30,-2.070672906,-1.237586354,,,,,
3.20,-1.307038589,-0.887100994,,,,,
1.10,3.894251306,3.19984232,,,,,
97.52,-1.38350222,1.353136678,,,,,
97.40,-1.270533236,2.314521099,,,,,
97.20,-1.27475775,2.631440716,,,,,
85,0.801901318,4.234557736,,,,,
84,2.171603892,4.429975274,,,,,
74.25,2.314514626,2.582495175,,,,,
74.27,2.046433829,1.606452179,,,,,
74.26,4.362286544,3.632962013,,,,,
70.10,5.445174592,4.831444324,,,,,
